Date,Close
10/1/2015,40.01
10/2/2015,39.89
10/5/2015,39.88
10/6/2015,39.34
10/7/2015,41.11
10/8/2015,41.69
10/9/2015,39.5
10/12/2015,39.14
10/13/2015,39.99
10/14/2015,40.78
10/15/2015,40.4
10/16/2015,40.8
10/19/2015,41
10/20/2015,39.58
10/21/2015,38.5
10/22/2015,36.72
10/23/2015,38.15
10/26/2015,38
10/27/2015,37.3
10/28/2015,36.5
10/29/2015,37.79
10/30/2015,37.03
11/2/2015,37.24
11/3/2015,37.27
11/4/2015,37.03
11/5/2015,36.84
11/6/2015,37.08
11/9/2015,37.92
11/10/2015,40.13
11/11/2015,40.36
11/12/2015,40.27
11/13/2015,49.8
11/16/2015,49.79
11/17/2015,48.24
11/18/2015,47
11/19/2015,46.19
11/20/2015,45.98
11/23/2015,47.87
11/24/2015,48.59
11/25/2015,50.91
11/27/2015,50.25
11/30/2015,50.32
12/1/2015,52.55
12/2/2015,52.14
12/3/2015,48.91
12/4/2015,49.74
12/7/2015,47.6
12/8/2015,45.5
12/9/2015,47.85
12/10/2015,51.5
12/11/2015,53.87
12/14/2015,51.68
12/15/2015,53.07
12/16/2015,55.6
12/17/2015,54.97
12/18/2015,54.98
12/21/2015,54.57
12/22/2015,55.23
12/23/2015,54.36
12/24/2015,54.22
12/28/2015,55.08
12/29/2015,54.72
12/30/2015,54.9
12/31/2015,53.81
1/4/2016,55.71
1/5/2016,55.03
1/6/2016,55
1/7/2016,53.56
1/8/2016,55.22
1/11/2016,55.33
1/12/2016,54.99
1/13/2016,53.55
1/14/2016,52.99
1/15/2016,49.07
1/19/2016,48.41
1/20/2016,46.53
1/21/2016,45.67
1/22/2016,44.81
1/25/2016,46
1/26/2016,44.95
1/27/2016,43.5
1/28/2016,42.36
1/29/2016,42.8
2/1/2016,45.3
2/2/2016,45.75
2/3/2016,44.99
2/4/2016,45.39
2/5/2016,43.88
2/8/2016,44.53
2/9/2016,43.81
2/10/2016,44.19
2/11/2016,42.42
2/12/2016,42.29
2/16/2016,44.22
2/17/2016,44.52
2/18/2016,45.77
2/19/2016,49.3
2/22/2016,50.2
2/23/2016,49.23
2/24/2016,46.64
2/25/2016,47.05
2/26/2016,47.45
2/29/2016,46.62
3/1/2016,45.51
3/2/2016,46.25
3/3/2016,45.2
3/4/2016,45.56
3/7/2016,46.04
3/8/2016,44.77
3/9/2016,43.15
3/10/2016,42
3/11/2016,42.73
3/14/2016,46.33
3/15/2016,47.39
3/16/2016,44.81
3/17/2016,45.01
3/18/2016,47.06
3/21/2016,45.01
3/22/2016,44.97
3/23/2016,44.15
3/24/2016,44.94
3/28/2016,44.06
3/29/2016,45.24
3/30/2016,45.25
3/31/2016,46
4/1/2016,46.73
4/4/2016,46.88
4/5/2016,45.86
4/6/2016,47.03
4/7/2016,46.99
4/8/2016,45.72
4/11/2016,45.53
4/12/2016,48.53
4/13/2016,51.1
4/14/2016,52.54
4/15/2016,51.41
4/18/2016,52.64
4/19/2016,52.75
4/20/2016,52.18
4/21/2016,54.4
4/22/2016,54.92
4/25/2016,55.11
4/26/2016,55.2
4/27/2016,54.41
4/28/2016,54.39
4/29/2016,54.5
5/2/2016,55.16
5/3/2016,54.43
5/4/2016,54.38
5/5/2016,54.5
5/6/2016,54.71
5/9/2016,53.58
5/10/2016,53.77
5/11/2016,52.29
5/12/2016,48.88
5/13/2016,48.87
5/16/2016,48.94
5/17/2016,48.04
5/18/2016,48
5/19/2016,49.43
5/20/2016,50.07
5/23/2016,51.5
5/24/2016,51.8
5/25/2016,52.39
5/26/2016,51.08
5/27/2016,53.37
5/31/2016,52.79
6/1/2016,55
6/2/2016,55.04
6/3/2016,55.52
6/6/2016,58.58
6/7/2016,59.51
6/8/2016,60.75
6/9/2016,60.97
6/10/2016,60.12
6/13/2016,58.28
6/14/2016,58.68
6/15/2016,58.99
6/16/2016,60.45
6/17/2016,58.73
6/20/2016,60.51
6/21/2016,60.81
6/22/2016,60.73
6/23/2016,60
6/24/2016,58.15
6/27/2016,56.68
6/28/2016,56.36
6/29/2016,58.33
6/30/2016,59.5
7/1/2016,59.56
7/5/2016,59.48
7/6/2016,59.77
7/7/2016,59.95
7/8/2016,60.49
7/11/2016,60.71
7/12/2016,60.62
7/13/2016,59.57
7/14/2016,60.37
7/15/2016,60.01
7/18/2016,60.32
7/19/2016,59.6
7/20/2016,60.58
7/21/2016,59.47
7/22/2016,60.41
7/25/2016,61.1
7/26/2016,61.67
7/27/2016,65.29
7/28/2016,68.54
7/29/2016,68.31
8/1/2016,68.53
8/2/2016,68.41
8/3/2016,67.21
8/4/2016,67.5
8/5/2016,66.71
8/8/2016,67.06
8/9/2016,69.78
8/10/2016,74.4
8/11/2016,74.34
8/12/2016,74.3
8/15/2016,74.9
8/16/2016,74.53
8/17/2016,73.69
8/18/2016,74.16
8/19/2016,74.2
8/22/2016,73.47
8/23/2016,72.84
8/24/2016,70.74
8/25/2016,70.88
8/26/2016,71.77
8/29/2016,71.55
8/30/2016,71.14
8/31/2016,70.56
9/1/2016,70.02
9/2/2016,70.63
9/6/2016,71.22
9/7/2016,71.29
9/8/2016,71.47
9/9/2016,68.25
9/12/2016,70.31
9/13/2016,69.55
9/14/2016,71.95
9/15/2016,75.07
9/16/2016,73.74
9/19/2016,74.16
9/20/2016,74.22
9/21/2016,78.43
9/22/2016,79.39
9/23/2016,77.32
9/26/2016,76.96
9/27/2016,76.73
9/28/2016,76
9/29/2016,74.97
9/30/2016,75.99
10/3/2016,74.28
10/4/2016,74.2
10/5/2016,74.23
10/6/2016,73.5
10/7/2016,73.18
10/10/2016,74.94
10/11/2016,72.9
10/12/2016,71.74
10/13/2016,71.27
10/14/2016,70.93
10/17/2016,72.6
10/18/2016,73.5
10/19/2016,75
10/20/2016,74.85
10/21/2016,73.95
10/24/2016,73.9
10/25/2016,72.35
10/26/2016,66.85
10/27/2016,64.6
10/28/2016,65.85
10/31/2016,65.95
11/1/2016,66.15
11/2/2016,61.6
11/3/2016,58.65
11/4/2016,60.05
11/7/2016,61.35
11/8/2016,63.1
11/9/2016,62
11/10/2016,63.15
11/11/2016,64
11/14/2016,64.05
11/15/2016,64.75
11/16/2016,65.15
11/17/2016,68.6
11/18/2016,69.2
11/21/2016,68.05
11/22/2016,66.4
11/23/2016,67.6
11/25/2016,68.7
11/28/2016,65.95
11/29/2016,64.55
11/30/2016,61.9
12/1/2016,59.05
12/2/2016,59
12/5/2016,61.3
12/6/2016,62.8
12/7/2016,65.2
12/8/2016,66.45
12/9/2016,66.15
12/12/2016,68.1
12/13/2016,67.75
12/14/2016,65.6
12/15/2016,64.6
12/16/2016,65.25
12/19/2016,65.4
12/20/2016,63.6
12/21/2016,63.05
12/22/2016,63.55
12/23/2016,64.2
12/27/2016,63.7
12/28/2016,63.4
12/29/2016,64.1
12/30/2016,63.8
1/3/2017,64.05
1/4/2017,65.7
1/5/2017,65.65
1/6/2017,67.9
1/9/2017,69.75
1/10/2017,71.3
1/11/2017,71.15
1/12/2017,71.45
1/13/2017,74.55
