Date,Close
10/1/2015,79.51
10/2/2015,79.53
10/5/2015,79.51
10/6/2015,78.1
10/7/2015,78.56
10/8/2015,78.69
10/9/2015,78.88
10/12/2015,79.21
10/13/2015,78.96
10/14/2015,76.2
10/15/2015,75.13
10/16/2015,75.05
10/19/2015,74.7
10/20/2015,74.4
10/21/2015,76.4
10/22/2015,77.11
10/23/2015,72.94
10/26/2015,74.02
10/27/2015,74.73
10/28/2015,76.23
10/29/2015,76.28
10/30/2015,77.18
11/2/2015,77.26
11/3/2015,78.23
11/4/2015,77.39
11/5/2015,78.15
11/6/2015,77.22
11/9/2015,76.23
11/10/2015,77.19
11/11/2015,74.87
11/12/2015,74.93
11/13/2015,71.89
11/16/2015,72.31
11/17/2015,72.91
11/18/2015,69.78
11/19/2015,70.55
11/20/2015,70.83
11/23/2015,72.28
11/24/2015,72.89
11/25/2015,73.16
11/27/2015,73.44
11/30/2015,72.5
12/1/2015,72.81
12/2/2015,71.93
12/3/2015,73.19
12/4/2015,73.9
12/7/2015,73.39
12/8/2015,72.66
12/9/2015,72.01
12/10/2015,72.37
12/11/2015,71.84
12/14/2015,72.72
12/15/2015,72.98
12/16/2015,73.8
12/17/2015,72.33
12/18/2015,71.37
12/21/2015,71.71
12/22/2015,72.61
12/23/2015,73.65
12/24/2015,73.17
12/28/2015,72.87
12/29/2015,74.44
12/30/2015,73.62
12/31/2015,72.61
1/4/2016,73.55
1/5/2016,74.84
1/6/2016,74.08
1/7/2016,73.88
1/8/2016,71.38
1/11/2016,72.42
1/12/2016,73.36
1/13/2016,71.64
1/14/2016,70.41
1/15/2016,70.08
1/19/2016,69.24
1/20/2016,67.59
1/21/2016,68.64
1/22/2016,69.72
1/25/2016,68.92
1/26/2016,70.44
1/27/2016,70.69
1/28/2016,70.99
1/29/2016,72.42
2/1/2016,72.83
2/2/2016,73.31
2/3/2016,72.57
2/4/2016,70.04
2/5/2016,69.56
2/8/2016,70
2/9/2016,69.86
2/10/2016,68.76
2/11/2016,68.05
2/12/2016,69.95
2/16/2016,71.5
2/17/2016,72.1
2/18/2016,72.53
2/19/2016,72.32
2/22/2016,72.47
2/23/2016,73.99
2/24/2016,76.94
2/25/2016,78.67
2/26/2016,78.43
2/29/2016,78.45
3/1/2016,80.96
3/2/2016,81.1
3/3/2016,79.71
3/4/2016,81.13
3/7/2016,80.82
3/8/2016,80.53
3/9/2016,81.21
3/10/2016,81.5
3/11/2016,81.87
3/14/2016,81.77
3/15/2016,81.65
3/16/2016,82.39
3/17/2016,83.02
3/18/2016,82.71
3/21/2016,82.2
3/22/2016,81.7
3/23/2016,81.5
3/24/2016,82.04
3/28/2016,82.8
3/29/2016,82.97
3/30/2016,83.6
3/31/2016,82.28
4/1/2016,82.76
4/4/2016,82.3
4/5/2016,82.1
4/6/2016,82.17
4/7/2016,81.57
4/8/2016,80.88
4/11/2016,79.77
4/12/2016,80.78
4/13/2016,81.56
4/14/2016,81.78
4/15/2016,82.6
4/18/2016,83.42
4/19/2016,83.98
4/20/2016,82.87
4/21/2016,82.75
4/22/2016,82.33
4/25/2016,82.6
4/26/2016,82.6
4/27/2016,83.29
4/28/2016,81.33
4/29/2016,79.5
5/2/2016,80.12
5/3/2016,79.99
5/4/2016,79.71
5/5/2016,78.13
5/6/2016,78.74
5/9/2016,79.93
5/10/2016,80.05
5/11/2016,75.7
5/12/2016,75.6
5/13/2016,73.88
5/16/2016,74.61
5/17/2016,73.61
5/18/2016,68
5/19/2016,67.06
5/20/2016,68.66
5/23/2016,67.93
5/24/2016,68.69
5/25/2016,69.28
5/26/2016,68.91
5/27/2016,68.9
5/31/2016,68.78
6/1/2016,68.41
6/2/2016,68.32
6/3/2016,68.65
6/6/2016,68.81
6/7/2016,68.24
6/8/2016,68.62
6/9/2016,67.69
6/10/2016,67.88
6/13/2016,66.89
6/14/2016,66.74
6/15/2016,67.27
6/16/2016,66.98
6/17/2016,67.5
6/20/2016,67.99
6/21/2016,68.3
6/22/2016,68.86
6/23/2016,69.78
6/24/2016,69.35
6/27/2016,69.45
6/28/2016,69.74
6/29/2016,70
6/30/2016,69.82
7/1/2016,70.05
7/5/2016,69.74
7/6/2016,70.51
7/7/2016,70.09
7/8/2016,71.31
7/11/2016,72.54
7/12/2016,73.52
7/13/2016,73.17
7/14/2016,73.49
7/15/2016,73.04
7/18/2016,73.96
7/19/2016,73.95
7/20/2016,74.48
7/21/2016,74.34
7/22/2016,74.92
7/25/2016,76.3
7/26/2016,76.22
7/27/2016,75.25
7/28/2016,74.79
7/29/2016,75.33
8/1/2016,75.51
8/2/2016,73.89
8/3/2016,74.1
8/4/2016,74.14
8/5/2016,74.94
8/8/2016,75
8/9/2016,72.61
8/10/2016,73.05
8/11/2016,74.01
8/12/2016,75.81
8/15/2016,75.53
8/16/2016,75.48
8/17/2016,70.63
8/18/2016,70.3
8/19/2016,70.12
8/22/2016,70.39
8/23/2016,71.05
8/24/2016,71.73
8/25/2016,70.81
8/26/2016,70.35
8/29/2016,71.05
8/30/2016,70.39
8/31/2016,70.19
9/1/2016,70.58
9/2/2016,70.81
9/6/2016,70.1
9/7/2016,70.3
9/8/2016,69.46
9/9/2016,69
9/12/2016,69.3
9/13/2016,68.94
9/14/2016,68.2
9/15/2016,69.21
9/16/2016,69.23
9/19/2016,68.89
9/20/2016,68.62
9/21/2016,69.47
9/22/2016,68.56
9/23/2016,68.77
9/26/2016,67.22
9/27/2016,68.29
9/28/2016,67.82
9/29/2016,67.72
9/30/2016,68.68
10/3/2016,68.68
10/4/2016,68.65
10/5/2016,67.74
10/6/2016,68.41
10/7/2016,69.04
10/10/2016,68.86
10/11/2016,68.39
10/12/2016,67.86
10/13/2016,67.89
10/14/2016,68.11
10/17/2016,67.24
10/18/2016,67.36
10/19/2016,67.53
10/20/2016,67.71
10/21/2016,68.23
10/24/2016,68.26
10/25/2016,67.95
10/26/2016,68.59
10/27/2016,67.62
10/28/2016,68.83
10/31/2016,68.73
11/1/2016,67.78
11/2/2016,68.26
11/3/2016,66.67
11/4/2016,66.53
11/7/2016,67.53
11/8/2016,67.05
11/9/2016,68.81
11/10/2016,70.54
11/11/2016,71.35
11/14/2016,72.17
11/15/2016,71.44
11/16/2016,76.03
11/17/2016,76.13
11/18/2016,76.19
11/21/2016,76.51
11/22/2016,77.87
11/23/2016,78.48
11/25/2016,78.61
11/28/2016,77.72
11/29/2016,78.41
11/30/2016,77.24
12/1/2016,77.82
12/2/2016,77.94
12/5/2016,76.98
12/6/2016,76.77
12/7/2016,76.97
12/8/2016,77.84
12/9/2016,77.39
12/12/2016,76.74
12/13/2016,77.67
12/14/2016,77.19
12/15/2016,76.98
12/16/2016,76.75
12/19/2016,77.04
12/20/2016,77.65
